GEOID,dominant_carrier,carrier_flights
01073,WN,2589
01089,OH,714
04013,HP,2176
05007,MQ,369
05119,OH,11
06037,AA,10919
06073,FL,49
06081,AA,4637
08031,UA,10004
08037,AA,143
09003,WN,4470
12011,WN,9471
12031,MQ,225
12033,OH,7
12057,AA,7661
12071,WN,3196
12073,OH,852
12086,AA,8712
12095,AA,8724
12099,OH,94
13063,DL,34892
17031,AA,19460
17113,FL,896
17161,FL,630
18097,FL,2532
18141,OH,1
20173,FL,89
21015,DL,6953
21067,OH,355
21111,WN,1868
22051,WN,6155
23005,FL,206
24003,WN,14056
25025,AA,10436
26049,FL,1563
26081,NW,841
26163,NW,14304
27053,NW,10180
28047,OH,85
28121,WN,1571
29165,WN,4704
29189,AA,6878
31055,WN,22
32003,AA,3126
33015,WN,6361
34001,OH,141
34013,CO,21850
35001,WN,3121
36001,WN,4375
36029,WN,3324
36055,FL,1951
36067,B6,675
36071,B6,950
36081,AA,27458
36103,WN,7149
36119,FL,1522
37081,OH,1999
37119,US,21656
37183,AA,4670
39035,CO,6161
39049,WN,2396
39113,FL,1568
39153,FL,1572
40109,EV,197
40143,EV,189
41051,AS,235
42003,US,7164
42043,US,78
42045,US,18371
44003,WN,7898
45019,OH,225
45063,OH,592
45083,OH,881
47009,DH,664
47037,WN,6926
47157,NW,6783
47163,OH,23
48029,WN,2371
48201,CO,17337
48215,XE,1
48439,AA,29010
48453,WN,1597
49035,DL,3493
50007,B6,122
51013,AA,11872
51087,MQ,1869
51107,UA,12887
51700,FL,1562
51710,WN,3156
53033,AS,4508
55079,FL,1764
