UniqueCarrier,mean_arrdelay,ci_low,ci_high,n_flights
B6,14.364612758945386,13.862723969026417,14.866501548864354,33984
AA,13.071883448347453,12.892698265473076,13.25106863122183,221567
CO,9.309400427793337,8.934719637246387,9.684081218340287,45349
AS,8.869070208728653,7.811785534466585,9.92635488299072,4743
OH,8.45617240823346,7.956337006271749,8.956007810195171,18607
MQ,8.454198636889709,8.024474352595838,8.88392292118358,23329
DL,8.143004257349894,7.91273339880274,8.373275115897046,79627
FL,7.66865680251507,7.4117866123001095,7.92552699273003,69342
US,7.629731647965391,7.363618312419224,7.895844983511559,59176
EV,7.197595792637115,5.73642926130332,8.65876232397091,1331
NW,7.047921207272326,6.551453424302225,7.544388990242427,36247
UA,6.683098251376679,6.326324674161735,7.039871828591623,41404
DH,6.139299397920087,4.979628084422709,7.298970711417466,3654
HP,4.801607093377667,3.8156111491767026,5.787603037578632,3609
F9,4.1625415589213155,3.023449969682431,5.3016331481601995,2707
