UniqueCarrier,total_delay_min,n_flights,cum_delay_min,cum_pct
AA,3909836.0,221567,3909836.0,35.31260188925829
WN,1342311.0,141376,5252147.0,47.4359988692268
DL,1019142.0,79627,6271289.0,56.640619143484464
FL,909763.0,69342,7181052.0,64.85735729633213
US,742994.0,59176,7924046.0,71.56788206721959
CO,690014.0,45349,8614060.0,77.79990552805393
B6,666145.0,33984,9280205.0,83.81635051078976
UA,524903.0,41404,9805108.0,88.55713520597322
NW,445967.0,36247,10251075.0,92.58499088246371
MQ,305323.0,23329,10556398.0,95.34258724881616
OH,247400.0,18607,10803798.0,97.57703843996651
AS,72508.0,4743,10876306.0,98.23191146732273
TZ,51019.0,5375,10927325.0,98.69270154542015
DH,44765.0,3654,10972090.0,99.09700715403714
HP,39143.0,3609,11011233.0,99.4505363495715
F9,26872.0,2707,11038105.0,99.69323712729417
XE,18138.0,2078,11056243.0,99.8570547332161
EV,15827.0,1331,11072070.0,100.0
