FlightDate,airport,ArrDelay,DepDelay,Cancelled,Diverted,period
2000-01-01,MCO,-42.0,0.0,False,False,other
2000-01-08,MCO,12.0,-4.0,False,False,other
2000-01-15,MCO,-4.0,7.0,False,False,other
2000-01-22,MCO,-14.0,-4.0,False,False,other
2000-01-29,MCO,13.0,6.0,False,False,other
2000-01-01,MCO,-17.0,0.0,False,False,other
2000-01-02,MCO,0.0,10.0,False,False,other
2000-01-03,MCO,18.0,23.0,False,False,other
2000-01-04,MCO,23.0,0.0,False,False,other
2000-01-05,MCO,7.0,9.0,False,False,other
2000-01-06,MCO,23.0,15.0,False,False,other
2000-01-07,MCO,6.0,0.0,False,False,other
2000-01-08,MCO,6.0,15.0,False,False,other
2000-01-09,MCO,20.0,7.0,False,False,other
2000-01-10,MCO,7.0,0.0,False,False,other
2000-01-11,MCO,-2.0,-4.0,False,False,other
2000-01-12,MCO,-16.0,-3.0,False,False,other
2000-01-13,MCO,6.0,30.0,False,False,other
2000-01-14,MCO,11.0,-4.0,False,False,other
2000-01-15,MCO,-13.0,0.0,False,False,other
2000-01-16,MCO,-14.0,0.0,False,False,other
2000-01-17,MCO,1.0,3.0,False,False,other
2000-01-18,MCO,1.0,-4.0,False,False,other
2000-01-19,MCO,-9.0,0.0,False,False,other
2000-01-20,MCO,-3.0,0.0,False,False,other
2000-01-21,MCO,26.0,20.0,False,False,other
2000-01-22,MCO,28.0,15.0,False,False,other
2000-01-23,MCO,26.0,5.0,False,False,other
2000-01-24,MCO,19.0,16.0,False,False,other
2000-01-25,MCO,21.0,0.0,False,False,other
2000-01-26,MCO,14.0,-4.0,False,False,other
2000-01-27,MCO,10.0,-1.0,False,False,other
2000-01-28,MCO,24.0,-4.0,False,False,other
2000-01-29,MCO,17.0,-4.0,False,False,other
2000-01-30,MCO,100.0,75.0,False,False,other
2000-01-31,MCO,7.0,5.0,False,False,other
2000-01-01,MCO,-28.0,6.0,False,False,other
2000-01-02,MCO,-30.0,0.0,False,False,other
2000-01-03,MCO,-10.0,0.0,False,False,other
2000-01-04,MCO,-13.0,17.0,False,False,other
2000-01-05,MCO,-9.0,0.0,False,False,other
2000-01-06,MCO,-9.0,0.0,False,False,other
2000-01-07,MCO,-22.0,0.0,False,False,other
2000-01-08,MCO,-25.0,0.0,False,False,other
2000-01-09,MCO,-22.0,0.0,False,False,other
2000-01-10,MCO,-10.0,14.0,False,False,other
2000-01-11,MCO,-25.0,0.0,False,False,other
2000-01-12,MCO,-38.0,0.0,False,False,other
2000-01-13,MCO,-39.0,0.0,False,False,other
2000-01-14,MCO,-40.0,0.0,False,False,other
2000-01-15,MCO,-30.0,8.0,False,False,other
2000-01-16,MCO,-24.0,0.0,False,False,other
