GEOID,county_mean_delay,county_total_flights
01073,4.3235403495723315,2689
01089,2.641860465116279,1075
04013,6.500167672702884,5964
05007,,370
05119,,11
06037,9.17502943320065,17837
06073,,49
06081,9.59836931903971,6623
08031,5.8018082945685645,15263
08037,,143
09003,3.681576659259975,10351
12011,8.708816586267064,9743
12031,,227
12033,,7
12057,7.792090837901331,7662
12071,8.595289658906335,3694
12073,3.4520123839009287,969
12086,11.202244833735445,9533
12095,12.459294587400178,9016
12099,,94
13063,10.759392306540937,66810
17031,11.562533997238377,47798
17113,0.9810267857142857,896
17161,6.2002762430939224,724
18097,5.103725894027336,10682
18141,,1
20173,,103
21015,4.813286770080403,12313
21067,,355
21111,4.512060647829084,2902
22051,6.621880080328967,10457
23005,,316
24003,5.3264113699170945,25330
25025,10.95496434677453,23981
26049,11.676784249384742,2438
26081,7.954815695600476,841
26163,6.681856100104275,19180
27053,7.253993133303478,13398
28047,,123
28121,3.7950350095480587,1571
29165,2.993824918270977,5506
29189,4.153318584070797,13560
31055,,22
32003,6.667744640076656,8349
33015,2.257978305297909,6361
34001,,141
34013,18.284708715383903,32391
35001,-2.680551105414931,3121
36001,2.7087161102397492,4463
36029,0.29288299155609165,4145
36055,4.675090252707581,2216
36067,8.169559412550067,749
36071,7.284397163120567,1410
36081,17.55031499511505,59366
36103,2.0593089942649323,7149
36119,10.535186794092095,2302
37081,5.260176991150442,3390
37119,6.088145678746819,27897
37183,7.399821761322207,12343
39035,3.6068096088941832,10074
39049,9.39615736505032,4372
39113,9.402298850574713,1827
39153,2.699745547073791,1572
40109,,292
40143,,250
41051,,235
42003,4.058848705328483,14019
42043,,78
42045,11.924158488973303,37908
44003,1.1077709866533616,8017
45019,,399
45063,0.7758046614872364,901
45083,3.810810810810811,1147
47009,6.951754385964913,912
47037,7.1180676665504015,11468
47157,5.189009068065115,9153
47163,,23
48029,2.602405721716515,3076
48201,4.125433847008191,28812
48215,,1
48439,9.200889685212072,32371
48453,6.652473387601753,1597
49035,2.4184518708940304,3501
50007,,122
51013,7.54617217753947,20142
51087,7.848866498740554,2779
51107,4.62710329376996,20979
51700,1.6805377720870678,1562
51710,6.5892585344640136,4599
53033,9.013753327417923,4508
55079,8.405609492988134,2781
