DOW,Hour,mean_arrdelay
Mon,0,16.87878787878788
Tue,0,8.807692307692308
Wed,0,14.833333333333334
Thu,0,11.818181818181818
Fri,0,14.833333333333334
Sat,0,26.666666666666668
Sun,0,14.0
Mon,1,
Tue,1,
Wed,1,
Thu,1,
Fri,1,
Sat,1,
Sun,1,21.0
Mon,5,-1.7737789203084833
Tue,5,-3.698453608247423
Wed,5,-5.740641711229946
Thu,5,-3.1601049868766404
Fri,5,-3.524296675191816
Sat,5,-1.5365239294710327
Sun,5,-3.8603988603988606
Mon,6,-0.8861292359503262
Tue,6,-1.276998299319728
Wed,6,-1.8819148936170214
Thu,6,-1.4022674784799496
Fri,6,-1.3439649781113197
Sat,6,-1.4228395061728396
Sun,6,-1.9039964277740566
Mon,7,1.880683583635422
Tue,7,0.16040339702760084
Wed,7,0.17878464818763326
Thu,7,0.6002903961833644
Fri,7,0.9859270672829995
Sat,7,-0.9395973154362416
Sun,7,-0.52972626176219
Mon,8,2.107456411524669
Tue,8,1.3932354818123804
Wed,8,1.1241274273384947
Thu,8,2.3547950264680537
Fri,8,2.3000123107226393
Sat,8,0.7178983550208692
Sun,8,0.403065603923973
Mon,9,1.3906560636182903
Tue,9,-0.3146853146853147
Wed,9,0.6735588972431078
Thu,9,1.08127348230176
Fri,9,1.742198370105347
Sat,9,1.2033511043412033
Sun,9,0.6208409506398538
Mon,10,2.942878448918717
Tue,10,0.654988575780655
Wed,10,1.6140298507462687
Thu,10,3.284706588623743
Fri,10,3.7583221376324825
Sat,10,1.5559598311745015
Sun,10,1.0843515383482998
Mon,11,5.104117465858918
Tue,11,2.7553866971999583
Wed,11,3.9743322203672786
Thu,11,4.915084711165544
Fri,11,6.238070910391335
Sat,11,4.7582624183653275
Sun,11,3.939449354871482
Mon,12,7.397202389625528
Tue,12,4.998828525406355
Wed,12,5.918926843571324
Thu,12,7.689640162507255
Fri,12,8.910112359550562
Sat,12,7.343035619351409
Sun,12,6.877798759104397
Mon,13,10.002789244672543
Tue,13,7.739140220571686
Wed,13,9.06665170556553
Thu,13,11.666110925864176
Fri,13,13.918515215695017
Sat,13,9.487685232498723
Sun,13,9.578208922503562
Mon,14,13.921774419255527
Tue,14,10.592460374125375
Wed,14,11.5491452991453
Thu,14,14.724922294433457
Fri,14,17.97887323943662
Sat,14,11.443159416480484
Sun,14,13.49153248195447
Mon,15,14.621549295774647
Tue,15,12.696758601080466
Wed,15,13.762142144993591
Thu,15,15.3492444569976
Fri,15,17.80202759785976
Sat,15,10.796929605591613
Sun,15,14.643056330172895
Mon,16,15.01639344262295
Tue,16,13.009025003698772
Wed,16,15.587457776472316
Thu,16,17.05395578824898
Fri,16,18.70823051241109
Sat,16,11.701406120760959
Sun,16,16.078316690442225
Mon,17,15.63422247446084
Tue,17,13.958807431945845
Wed,17,16.46732305936073
Thu,17,18.224313838195144
Fri,17,20.325770547945204
Sat,17,11.944247546346784
Sun,17,18.249613492621222
Mon,18,16.099787967134905
Tue,18,14.41489793159389
Wed,18,15.788917146299022
Thu,18,20.395308543249367
Fri,18,19.858375365011945
Sat,18,12.972692661152685
Sun,18,17.042142575817252
Mon,19,12.88568503668316
Tue,19,11.735035053028941
Wed,19,13.5381259815041
Thu,19,16.76
Fri,19,17.165145368492226
Sat,19,10.069135802469136
Sun,19,14.913050818841803
Mon,20,13.401711491442542
Tue,20,10.700025303643725
Wed,20,11.813653822326849
Thu,20,16.419573643410853
Fri,20,16.245877963653868
Sat,20,10.617567741106972
Sun,20,15.040332147093713
Mon,21,13.727872670807454
Tue,21,11.39808536098923
Wed,21,11.95747171283652
Thu,21,17.545172547499032
Fri,21,18.925560197493354
Sat,21,12.39646672144618
Sun,21,16.97628156082632
Mon,22,16.469635627530366
Tue,22,15.556237218813905
Wed,22,18.39271255060729
Thu,22,20.55151515151515
Fri,22,26.228105906313644
Sat,22,13.512359550561797
Sun,22,20.036960985626283
Mon,23,9.438502673796792
Tue,23,5.430167597765363
Wed,23,9.096774193548388
Thu,23,13.759358288770054
Fri,23,22.572192513368982
Sat,23,4.524064171122995
Sun,23,8.857923497267759
