Origin,FlightDate,Hour,traffic,mean_delay,p_delay
MCO,2004-01-01,5,1,-9.0,0.0
MCO,2004-01-01,6,10,-4.4,0.0
MCO,2004-01-01,7,22,4.590909090909091,0.09090909090909091
MCO,2004-01-01,8,21,-0.14285714285714285,0.047619047619047616
MCO,2004-01-01,9,9,-4.444444444444445,0.1111111111111111
MCO,2004-01-01,10,21,-1.0,0.047619047619047616
MCO,2004-01-01,11,25,-7.32,0.0
MCO,2004-01-01,12,16,-8.75,0.0
MCO,2004-01-01,13,21,-3.2857142857142856,0.047619047619047616
MCO,2004-01-01,14,17,4.0,0.11764705882352941
MCO,2004-01-01,15,17,-5.647058823529412,0.058823529411764705
MCO,2004-01-01,16,20,-0.45,0.05
MCO,2004-01-01,17,15,-4.0,0.0
MCO,2004-01-01,18,19,-4.052631578947368,0.05263157894736842
MCO,2004-01-01,19,18,47.05555555555556,0.16666666666666666
MCO,2004-01-01,20,8,-4.25,0.125
MCO,2004-01-01,21,6,-11.166666666666666,0.0
MCO,2004-01-01,22,1,-19.0,0.0
MCO,2004-01-02,5,1,-14.0,0.0
MCO,2004-01-02,6,11,-5.090909090909091,0.09090909090909091
MCO,2004-01-02,7,28,-1.3214285714285714,0.07142857142857142
MCO,2004-01-02,8,22,2.6818181818181817,0.09090909090909091
MCO,2004-01-02,9,8,-1.0,0.125
MCO,2004-01-02,10,21,1.3333333333333333,0.09523809523809523
MCO,2004-01-02,11,27,17.22222222222222,0.14814814814814814
MCO,2004-01-02,12,16,10.375,0.25
MCO,2004-01-02,13,21,9.19047619047619,0.09523809523809523
MCO,2004-01-02,14,17,14.294117647058824,0.23529411764705882
MCO,2004-01-02,15,17,12.764705882352942,0.29411764705882354
MCO,2004-01-02,16,20,11.3,0.25
MCO,2004-01-02,17,16,18.875,0.4375
MCO,2004-01-02,18,19,9.368421052631579,0.10526315789473684
MCO,2004-01-02,19,19,10.736842105263158,0.10526315789473684
MCO,2004-01-02,20,12,16.916666666666668,0.3333333333333333
MCO,2004-01-02,21,7,-4.285714285714286,0.14285714285714285
MCO,2004-01-02,22,1,-12.0,0.0
MCO,2004-01-03,5,1,11.0,0.0
MCO,2004-01-03,6,9,0.6666666666666666,0.2222222222222222
MCO,2004-01-03,7,29,3.413793103448276,0.1724137931034483
MCO,2004-01-03,8,23,35.78260869565217,0.2608695652173913
MCO,2004-01-03,9,8,0.125,0.125
MCO,2004-01-03,10,23,6.6521739130434785,0.21739130434782608
MCO,2004-01-03,11,27,11.481481481481481,0.14814814814814814
MCO,2004-01-03,12,14,6.785714285714286,0.21428571428571427
MCO,2004-01-03,13,23,3.652173913043478,0.17391304347826086
MCO,2004-01-03,14,19,8.0,0.15789473684210525
MCO,2004-01-03,15,19,11.421052631578947,0.21052631578947367
MCO,2004-01-03,16,21,20.428571428571427,0.47619047619047616
MCO,2004-01-03,17,17,8.647058823529411,0.23529411764705882
MCO,2004-01-03,18,19,12.578947368421053,0.3157894736842105
MCO,2004-01-03,19,18,7.333333333333333,0.1111111111111111
MCO,2004-01-03,20,8,28.625,0.375
MCO,2004-01-03,21,7,14.285714285714286,0.42857142857142855
MCO,2004-01-03,22,1,32.0,1.0
MCO,2004-01-04,5,1,-6.0,0.0
MCO,2004-01-04,6,12,1.25,0.16666666666666666
MCO,2004-01-04,7,28,-1.1785714285714286,0.03571428571428571
MCO,2004-01-04,8,21,1.2857142857142858,0.09523809523809523
MCO,2004-01-04,9,12,5.916666666666667,0.08333333333333333
MCO,2004-01-04,10,21,5.428571428571429,0.19047619047619047
MCO,2004-01-04,11,27,9.333333333333334,0.2222222222222222
MCO,2004-01-04,12,16,10.875,0.25
MCO,2004-01-04,13,22,19.318181818181817,0.3181818181818182
MCO,2004-01-04,14,17,85.17647058823529,0.5882352941176471
MCO,2004-01-04,15,17,31.941176470588236,0.47058823529411764
MCO,2004-01-04,16,21,32.61904761904762,0.47619047619047616
MCO,2004-01-04,17,16,54.625,0.625
MCO,2004-01-04,18,19,22.263157894736842,0.42105263157894735
MCO,2004-01-04,19,18,35.111111111111114,0.6111111111111112
MCO,2004-01-04,20,12,40.916666666666664,0.6666666666666666
MCO,2004-01-04,21,8,39.625,0.625
MCO,2004-01-05,5,1,-16.0,0.0
MCO,2004-01-05,6,13,-3.3846153846153846,0.15384615384615385
MCO,2004-01-05,7,28,12.928571428571429,0.21428571428571427
MCO,2004-01-05,8,22,29.318181818181817,0.3181818181818182
MCO,2004-01-05,9,9,-7.0,0.0
MCO,2004-01-05,10,20,-0.95,0.15
MCO,2004-01-05,11,27,14.518518518518519,0.2962962962962963
MCO,2004-01-05,12,14,13.5,0.2857142857142857
MCO,2004-01-05,13,20,30.1,0.35
MCO,2004-01-05,14,17,13.470588235294118,0.5294117647058824
MCO,2004-01-05,15,17,16.058823529411764,0.35294117647058826
MCO,2004-01-05,16,20,37.5,0.65
MCO,2004-01-05,17,16,33.125,0.4375
MCO,2004-01-05,18,19,28.105263157894736,0.3157894736842105
MCO,2004-01-05,19,18,27.22222222222222,0.5555555555555556
MCO,2004-01-05,20,12,34.916666666666664,0.5
MCO,2004-01-05,21,7,20.142857142857142,0.42857142857142855
MCO,2004-01-05,22,1,123.0,1.0
MCO,2004-01-06,5,1,-6.0,0.0
MCO,2004-01-06,6,14,-3.2142857142857144,0.14285714285714285
MCO,2004-01-06,7,28,4.857142857142857,0.10714285714285714
MCO,2004-01-06,8,18,23.61111111111111,0.2777777777777778
MCO,2004-01-06,9,7,-6.428571428571429,0.0
MCO,2004-01-06,10,18,-4.222222222222222,0.05555555555555555
MCO,2004-01-06,11,26,9.5,0.3076923076923077
MCO,2004-01-06,12,16,9.3125,0.25
MCO,2004-01-06,13,21,4.809523809523809,0.23809523809523808
MCO,2004-01-06,14,15,8.133333333333333,0.3333333333333333
MCO,2004-01-06,15,14,22.428571428571427,0.2857142857142857
MCO,2004-01-06,16,22,17.545454545454547,0.36363636363636365
MCO,2004-01-06,17,14,19.0,0.35714285714285715
MCO,2004-01-06,18,18,1.5555555555555556,0.1111111111111111
MCO,2004-01-06,19,16,10.75,0.3125
MCO,2004-01-06,20,12,8.583333333333334,0.25
MCO,2004-01-06,21,8,-3.875,0.0
MCO,2004-01-06,22,1,1.0,0.0
MCO,2004-01-07,5,1,0.0,0.0
MCO,2004-01-07,6,13,-1.0,0.07692307692307693
MCO,2004-01-07,7,25,1.64,0.08
MCO,2004-01-07,8,21,10.238095238095237,0.14285714285714285
MCO,2004-01-07,9,7,6.285714285714286,0.14285714285714285
MCO,2004-01-07,10,18,-1.5555555555555556,0.1111111111111111
MCO,2004-01-07,11,26,1.6538461538461537,0.11538461538461539
MCO,2004-01-07,12,14,-4.428571428571429,0.07142857142857142
MCO,2004-01-07,13,22,16.318181818181817,0.2727272727272727
MCO,2004-01-07,14,14,21.571428571428573,0.42857142857142855
MCO,2004-01-07,15,14,2.0,0.07142857142857142
MCO,2004-01-07,16,21,11.857142857142858,0.2857142857142857
MCO,2004-01-07,17,17,21.88235294117647,0.23529411764705882
MCO,2004-01-07,18,18,11.555555555555555,0.1111111111111111
MCO,2004-01-07,19,13,11.692307692307692,0.15384615384615385
MCO,2004-01-07,20,11,9.727272727272727,0.2727272727272727
MCO,2004-01-07,21,7,-3.857142857142857,0.0
MCO,2004-01-07,22,1,-10.0,0.0
MCO,2004-01-08,5,1,-8.0,0.0
MCO,2004-01-08,6,13,1.3846153846153846,0.07692307692307693
MCO,2004-01-08,7,25,-1.92,0.04
MCO,2004-01-08,8,22,9.227272727272727,0.22727272727272727
MCO,2004-01-08,9,8,-2.75,0.125
MCO,2004-01-08,10,18,-0.6111111111111112,0.1111111111111111
MCO,2004-01-08,11,27,-2.5555555555555554,0.07407407407407407
MCO,2004-01-08,12,15,5.666666666666667,0.06666666666666667
MCO,2004-01-08,13,22,-3.3181818181818183,0.045454545454545456
MCO,2004-01-08,14,14,-2.5714285714285716,0.0
MCO,2004-01-08,15,15,-2.2,0.06666666666666667
MCO,2004-01-08,16,22,-0.13636363636363635,0.045454545454545456
MCO,2004-01-08,17,17,4.0588235294117645,0.23529411764705882
MCO,2004-01-08,18,19,1.7894736842105263,0.10526315789473684
MCO,2004-01-08,19,15,-3.3333333333333335,0.13333333333333333
MCO,2004-01-08,20,11,0.5454545454545454,0.09090909090909091
MCO,2004-01-08,21,7,2.5714285714285716,0.14285714285714285
MCO,2004-01-08,22,1,-16.0,0.0
MCO,2004-01-09,5,1,-6.0,0.0
MCO,2004-01-09,6,13,-9.153846153846153,0.0
MCO,2004-01-09,7,25,-2.24,0.08
MCO,2004-01-09,8,22,-4.5,0.09090909090909091
MCO,2004-01-09,9,8,-11.5,0.0
MCO,2004-01-09,10,19,-5.578947368421052,0.05263157894736842
MCO,2004-01-09,11,27,-4.962962962962963,0.07407407407407407
MCO,2004-01-09,12,15,8.666666666666666,0.2
MCO,2004-01-09,13,22,0.4090909090909091,0.18181818181818182
MCO,2004-01-09,14,14,8.714285714285714,0.2857142857142857
MCO,2004-01-09,15,15,-2.3333333333333335,0.06666666666666667
MCO,2004-01-09,16,21,-2.7142857142857144,0.09523809523809523
MCO,2004-01-09,17,17,-6.411764705882353,0.0
MCO,2004-01-09,18,19,3.1578947368421053,0.10526315789473684
MCO,2004-01-09,19,17,0.4117647058823529,0.11764705882352941
MCO,2004-01-09,20,11,11.0,0.2727272727272727
MCO,2004-01-09,21,8,-0.125,0.25
MCO,2004-01-09,22,1,-13.0,0.0
MCO,2004-01-10,5,1,-10.0,0.0
MCO,2004-01-10,6,11,30.90909090909091,0.18181818181818182
MCO,2004-01-10,7,24,-6.416666666666667,0.041666666666666664
MCO,2004-01-10,8,22,3.1818181818181817,0.045454545454545456
MCO,2004-01-10,9,8,-9.5,0.0
MCO,2004-01-10,10,21,-3.142857142857143,0.0
MCO,2004-01-10,11,27,2.925925925925926,0.18518518518518517
MCO,2004-01-10,12,14,1.6428571428571428,0.21428571428571427
MCO,2004-01-10,13,24,-0.20833333333333334,0.041666666666666664
MCO,2004-01-10,14,15,1.0666666666666667,0.13333333333333333
MCO,2004-01-10,15,17,2.3529411764705883,0.11764705882352941
MCO,2004-01-10,16,23,4.391304347826087,0.21739130434782608
MCO,2004-01-10,17,19,-6.157894736842105,0.10526315789473684
MCO,2004-01-10,18,18,-2.5555555555555554,0.05555555555555555
MCO,2004-01-10,19,16,9.0,0.125
MCO,2004-01-10,20,8,1.0,0.125
MCO,2004-01-10,21,7,-4.714285714285714,0.0
MCO,2004-01-10,22,1,-8.0,0.0
MCO,2004-01-11,5,1,-5.0,0.0
MCO,2004-01-11,6,12,-1.0833333333333333,0.08333333333333333
MCO,2004-01-11,7,24,-6.791666666666667,0.041666666666666664
MCO,2004-01-11,8,21,3.238095238095238,0.14285714285714285
MCO,2004-01-11,9,13,20.23076923076923,0.23076923076923078
MCO,2004-01-11,10,19,2.0526315789473686,0.0
MCO,2004-01-11,11,27,6.518518518518518,0.14814814814814814
MCO,2004-01-11,12,15,-4.066666666666666,0.0
MCO,2004-01-11,13,22,0.13636363636363635,0.045454545454545456
MCO,2004-01-11,14,14,0.7857142857142857,0.14285714285714285
MCO,2004-01-11,15,15,1.5333333333333334,0.0
MCO,2004-01-11,16,23,16.652173913043477,0.2608695652173913
MCO,2004-01-11,17,17,3.0,0.17647058823529413
MCO,2004-01-11,18,19,4.631578947368421,0.15789473684210525
MCO,2004-01-11,19,17,4.235294117647059,0.11764705882352941
MCO,2004-01-11,20,11,10.090909090909092,0.36363636363636365
MCO,2004-01-11,21,8,5.75,0.25
MCO,2004-01-11,22,1,-2.0,0.0
MCO,2004-01-12,5,1,24.0,1.0
MCO,2004-01-12,6,13,-0.6923076923076923,0.07692307692307693
MCO,2004-01-12,7,26,-2.3076923076923075,0.038461538461538464
MCO,2004-01-12,8,22,1.8636363636363635,0.09090909090909091
MCO,2004-01-12,9,7,-5.714285714285714,0.0
MCO,2004-01-12,10,19,-2.8947368421052633,0.05263157894736842
MCO,2004-01-12,11,27,2.6666666666666665,0.14814814814814814
MCO,2004-01-12,12,15,-6.933333333333334,0.06666666666666667
MCO,2004-01-12,13,21,-3.0,0.0
MCO,2004-01-12,14,13,5.6923076923076925,0.07692307692307693
MCO,2004-01-12,15,15,-1.4666666666666666,0.0
MCO,2004-01-12,16,22,-1.6363636363636365,0.09090909090909091
MCO,2004-01-12,17,17,-3.3529411764705883,0.058823529411764705
MCO,2004-01-12,18,18,-1.6666666666666667,0.1111111111111111
MCO,2004-01-12,19,14,4.571428571428571,0.14285714285714285
MCO,2004-01-12,20,11,-5.545454545454546,0.0
MCO,2004-01-12,21,7,-4.857142857142857,0.14285714285714285
MCO,2004-01-12,22,1,-8.0,0.0
MCO,2004-01-13,5,1,-14.0,0.0
MCO,2004-01-13,6,13,-1.4615384615384615,0.0
MCO,2004-01-13,7,24,-4.75,0.0
MCO,2004-01-13,8,21,-1.1904761904761905,0.0
MCO,2004-01-13,9,7,-3.2857142857142856,0.0
MCO,2004-01-13,10,19,-1.9473684210526316,0.05263157894736842
MCO,2004-01-13,11,26,0.7692307692307693,0.11538461538461539
MCO,2004-01-13,12,15,-2.6666666666666665,0.0
MCO,2004-01-13,13,22,-1.0454545454545454,0.09090909090909091
MCO,2004-01-13,14,13,1.6153846153846154,0.15384615384615385
MCO,2004-01-13,15,14,-1.5,0.0
MCO,2004-01-13,16,22,2.409090909090909,0.18181818181818182
MCO,2004-01-13,17,17,0.0,0.11764705882352941
MCO,2004-01-13,18,17,-5.235294117647059,0.0
MCO,2004-01-13,19,13,6.923076923076923,0.15384615384615385
MCO,2004-01-13,20,11,5.7272727272727275,0.18181818181818182
MCO,2004-01-13,21,7,-6.857142857142857,0.0
MCO,2004-01-13,22,1,-5.0,0.0
MCO,2004-01-14,5,1,-7.0,0.0
MCO,2004-01-14,6,13,3.3076923076923075,0.15384615384615385
MCO,2004-01-14,7,23,-0.30434782608695654,0.043478260869565216
MCO,2004-01-14,8,21,-4.857142857142857,0.0
MCO,2004-01-14,9,7,16.142857142857142,0.14285714285714285
MCO,2004-01-14,10,19,-1.0,0.10526315789473684
MCO,2004-01-14,11,25,1.92,0.12
MCO,2004-01-14,12,15,2.8666666666666667,0.2
MCO,2004-01-14,13,21,2.5714285714285716,0.14285714285714285
MCO,2004-01-14,14,13,10.153846153846153,0.3076923076923077
MCO,2004-01-14,15,14,15.571428571428571,0.21428571428571427
MCO,2004-01-14,16,22,4.090909090909091,0.13636363636363635
MCO,2004-01-14,17,17,16.58823529411765,0.35294117647058826
MCO,2004-01-14,18,18,10.722222222222221,0.3333333333333333
MCO,2004-01-14,19,14,14.928571428571429,0.42857142857142855
MCO,2004-01-14,20,11,23.09090909090909,0.2727272727272727
MCO,2004-01-14,21,7,3.5714285714285716,0.42857142857142855
MCO,2004-01-14,22,1,4.0,0.0
MCO,2004-01-15,5,1,-11.0,0.0
MCO,2004-01-15,6,13,-1.8461538461538463,0.07692307692307693
MCO,2004-01-15,7,24,5.791666666666667,0.16666666666666666
MCO,2004-01-15,8,22,14.681818181818182,0.18181818181818182
MCO,2004-01-15,9,8,3.375,0.125
MCO,2004-01-15,10,19,3.3157894736842106,0.15789473684210525
MCO,2004-01-15,11,25,13.68,0.28
MCO,2004-01-15,12,15,22.4,0.5333333333333333
MCO,2004-01-15,13,22,21.181818181818183,0.4090909090909091
MCO,2004-01-15,14,13,42.46153846153846,0.46153846153846156
MCO,2004-01-15,15,15,9.866666666666667,0.3333333333333333
MCO,2004-01-15,16,22,11.545454545454545,0.22727272727272727
MCO,2004-01-15,17,17,0.7647058823529411,0.058823529411764705
MCO,2004-01-15,18,19,1.2105263157894737,0.10526315789473684
MCO,2004-01-15,19,16,16.0625,0.3125
MCO,2004-01-15,20,11,5.181818181818182,0.2727272727272727
MCO,2004-01-15,21,8,9.0,0.25
MCO,2004-01-15,22,1,29.0,1.0
MCO,2004-01-16,5,1,-8.0,0.0
MCO,2004-01-16,6,13,2.4615384615384617,0.07692307692307693
MCO,2004-01-16,7,26,4.923076923076923,0.15384615384615385
MCO,2004-01-16,8,22,16.272727272727273,0.18181818181818182
MCO,2004-01-16,9,8,-5.0,0.0
MCO,2004-01-16,10,19,2.210526315789474,0.05263157894736842
MCO,2004-01-16,11,27,6.296296296296297,0.18518518518518517
MCO,2004-01-16,12,15,3.533333333333333,0.2
MCO,2004-01-16,13,22,12.363636363636363,0.36363636363636365
MCO,2004-01-16,14,13,19.46153846153846,0.38461538461538464
MCO,2004-01-16,15,15,6.533333333333333,0.26666666666666666
MCO,2004-01-16,16,22,16.636363636363637,0.36363636363636365
MCO,2004-01-16,17,17,3.0,0.058823529411764705
MCO,2004-01-16,18,19,12.736842105263158,0.3157894736842105
MCO,2004-01-16,19,17,10.411764705882353,0.17647058823529413
MCO,2004-01-16,20,11,18.454545454545453,0.2727272727272727
